timeStamp,ghi,air_temp,windsp,winddir
2014/1/2 16:02,71.16,3.42,0.76,107.6
2014/1/2 16:03,74.41,3.5,0.76,122.1
2014/1/2 16:04,77.46,3.56,1.32,69.26
2014/1/2 16:05,80.7,3.64,1.42,63.79
2014/1/2 16:06,83.8,3.76,1.08,75.62
2014/1/2 16:07,86.1,3.88,0.98,83.1
2014/1/2 16:08,89.5,4.02,1.02,88.1
2014/1/2 16:09,93.1,4.12,0.72,81.7
2014/1/2 16:10,96.8,4.24,0.52,113.2
2014/1/2 16:11,100.1,4.36,0.3,124.9
2014/1/2 16:12,102.6,4.5,0.66,350
2014/1/2 16:13,105.2,4.6,0.78,64.61
2014/1/2 16:14,107.9,4.62,0.8,84
2014/1/2 16:15,110.7,4.72,0.66,102.2
2014/1/2 16:16,113,4.84,0.86,87.9
2014/1/2 16:17,115.8,4.96,0.7,86.4
2014/1/2 16:18,118.4,5.06,1.02,73.37
2014/1/2 16:19,120.8,5.18,0.98,77.6
2014/1/2 16:20,123.1,5.28,0.96,90.8
2014/1/2 16:21,125.7,5.36,0.86,104.4
2014/1/2 16:22,128,5.4,0.84,102.4
2014/1/2 16:23,130.4,5.4,0.86,103.4
2014/1/2 16:24,131.9,5.46,0.82,98.4
2014/1/2 16:25,133.4,5.54,0.88,95.8
2014/1/2 16:26,137.9,5.6,0.78,97.3
2014/1/2 16:27,140.9,5.7,0.72,84.2
2014/1/2 16:28,143.8,5.78,0.7,101.8
2014/1/2 16:29,147,5.88,0.7,97.8
2014/1/2 16:30,149.7,6.02,0.76,96.4
2014/1/2 16:31,152.5,6.16,0.7,93.1
2014/1/2 16:32,153.9,6.32,0.8,80.2
2014/1/2 16:33,152.7,6.42,0.92,67.6
2014/1/2 16:34,160.8,6.5,1.12,61.8
2014/1/2 16:35,164.1,6.58,0.54,82.1
2014/1/2 16:36,160,6.62,0.52,328.8
2014/1/2 16:37,163.2,6.72,0.22,71.59
2014/1/2 16:38,172.5,6.9,0.2,146.8
2014/1/2 16:39,175.4,7.16,0.3,243.9
2014/1/2 16:40,178.3,7.34,0.3,182.7
2014/1/2 16:41,181.2,7.54,0.24,123.3
2014/1/2 16:42,183.9,7.82,0.16,132.8
2014/1/2 16:43,186.8,8.08,0.2,93.1
2014/1/2 16:44,189.6,8.26,0.26,101.8
2014/1/2 16:45,192.4,8.44,0.4,147
2014/1/2 16:46,195.3,8.6,0.34,108.7
2014/1/2 16:47,198.3,8.74,0.44,126.9
2014/1/2 16:48,201.3,8.84,0.44,141.7
2014/1/2 16:49,204.9,8.94,0.48,142.1
2014/1/2 16:50,207.2,9.02,0.48,158.4
2014/1/2 16:51,201.8,9.1,0.56,153.4
2014/1/2 16:52,197.9,9.12,0.3,127.8
2014/1/2 16:53,201.6,9.2,0.52,127.9
2014/1/2 16:54,198.5,9.3,0.54,104.9
2014/1/2 16:55,200.7,9.3,0.52,125.1
2014/1/2 16:56,209.5,9.36,0.4,104.4
2014/1/2 16:57,210,9.4,0.46,127.8
2014/1/2 16:58,212.3,9.4,0.6,146.3
2014/1/2 16:59,219.5,9.4,0.34,135.7
2014/1/2 17:00,195.5,9.42,0.3,87.3
2014/1/2 17:01,216.9,9.52,0.16,34.01
2014/1/2 17:02,239.7,9.66,0.18,140.2
2014/1/2 17:03,244.8,9.86,0.4,157.6
2014/1/2 17:04,248,10,0.66,160.2
2014/1/2 17:05,245.8,10.08,0.28,185.2
2014/1/2 17:06,246.4,10.2,0.42,144.6
2014/1/2 17:07,247.4,10.3,0.44,160.9
2014/1/2 17:08,245,10.38,0.34,88
2014/1/2 17:09,248.4,10.46,0.86,264.3
2014/1/2 17:10,253.6,10.5,0.88,239.9
2014/1/2 17:11,263.5,10.5,0.24,282.3
2014/1/2 17:12,269.4,10.5,0.86,275.5
2014/1/2 17:13,273.5,10.5,0.92,258.6
2014/1/2 17:14,276.8,10.5,0.48,236.9
2014/1/2 17:15,280,10.5,0.44,289.5
2014/1/2 17:16,283.5,10.6,0.5,260.2
2014/1/2 17:17,288,10.68,0.38,269.5
2014/1/2 17:18,289.8,10.82,0.74,294.8
2014/1/2 17:19,288.3,10.9,0.8,281.6
2014/1/2 17:20,266,10.9,0.78,289.6
2014/1/2 17:21,264,10.9,0.78,278.1
2014/1/2 17:22,271,10.9,0.64,285.2
2014/1/2 17:23,265,10.92,0.62,280.8
2014/1/2 17:24,291.2,11,0.66,291.4
2014/1/2 17:25,293.6,11,0.34,286.2
2014/1/2 17:26,304,11.08,0.38,284.6
2014/1/2 17:27,295.8,11.22,0.48,287.7
2014/1/2 17:28,275.2,11.34,0.66,292.8
2014/1/2 17:29,266.1,11.44,0.78,285.3
2014/1/2 17:30,244.9,11.5,1.02,259.2
2014/1/2 17:31,257.5,11.48,0.88,254.3
2014/1/2 17:32,271.3,11.4,0.8,260.6
2014/1/2 17:33,269.6,11.4,0.82,291.3
2014/1/2 17:34,268.9,11.4,0.88,281.4
2014/1/2 17:35,275.7,11.36,1.02,265.2
2014/1/2 17:36,292.3,11.3,0.9,254.2
2014/1/2 17:37,309.5,11.3,0.88,268
2014/1/2 17:38,281.2,11.3,0.6,282.4
2014/1/2 17:39,265.5,11.3,0.72,242.8
2014/1/2 17:40,265.3,11.4,0.72,199.5
2014/1/2 17:41,269.6,11.4,0.76,187.6
2014/1/2 17:42,273.9,11.4,0.58,176.2
2014/1/2 17:43,274.3,11.4,0.46,48.66
2014/1/2 17:44,280.6,11.46,0.56,254.2
2014/1/2 17:45,313,11.56,0.2,279.2
2014/1/2 17:46,353.7,11.68,0.46,292.9
2014/1/2 17:47,356.6,11.84,0.68,267.2
2014/1/2 17:48,356.5,11.92,0.66,296
2014/1/2 17:49,355.8,12,0.46,302
2014/1/2 17:50,355.7,12.1,0.66,270.2
2014/1/2 17:51,354.5,12.12,0.78,302.5
2014/1/2 17:52,358.2,12.2,0.5,284.6
2014/1/2 17:53,359.1,12.24,0.36,334.1
2014/1/2 17:54,347.5,12.32,0.76,277.6
2014/1/2 17:55,330.1,12.44,0.74,285.4
2014/1/2 17:56,337.3,12.5,0.44,316.4
2014/1/2 17:57,345.9,12.54,0.76,291.2
2014/1/2 17:58,333.2,12.6,0.94,281.2
2014/1/2 17:59,333.5,12.6,0.88,306.8
2014/1/2 18:00,334.5,12.6,0.4,341.1
2014/1/2 18:01,335.2,12.6,0.3,329.9
2014/1/2 18:02,344.7,12.64,0.76,313.3
2014/1/2 18:03,349.2,12.7,0.92,278.8
2014/1/2 18:04,339.6,12.7,0.92,272.2
2014/1/2 18:05,314.1,12.7,0.98,291.4
2014/1/2 18:06,316.5,12.7,1.02,311.8
2014/1/2 18:07,331,12.7,0.76,288.4
2014/1/2 18:08,325.4,12.7,0.86,301.9
2014/1/2 18:09,323.1,12.7,0.62,274.1
2014/1/2 18:10,327.6,12.76,0.76,273.1
2014/1/2 18:11,331.9,12.8,0.92,277.6
2014/1/2 18:12,345.4,12.8,1.22,289.6
2014/1/2 18:13,367.3,12.8,1.2,294.8
2014/1/2 18:14,378.7,12.7,0.58,290.7
2014/1/2 18:15,374.7,12.7,0.7,301.4
2014/1/2 18:16,374.6,12.8,0.9,295
2014/1/2 18:17,378.3,12.88,1.3,297.6
2014/1/2 18:18,390.7,12.84,1.12,299
2014/1/2 18:19,401.8,12.8,1.04,300.6
2014/1/2 18:20,404.4,12.8,1.04,305.4
2014/1/2 18:21,405.4,12.8,1.12,289.4
2014/1/2 18:22,407,12.8,1.02,295.8
2014/1/2 18:23,410.6,12.8,1.1,272.8
2014/1/2 18:24,377.5,12.8,1.04,297
2014/1/2 18:25,344.2,12.8,0.92,297.5
2014/1/2 18:26,347.6,12.8,0.78,267
2014/1/2 18:27,405.8,12.84,0.72,248.3
2014/1/2 18:28,416.1,12.92,0.86,246.7
2014/1/2 18:29,416.4,13.02,0.82,244.6
2014/1/2 18:30,416.3,13.14,0.94,272.2
2014/1/2 18:31,418,13.22,0.86,254
2014/1/2 18:32,418.6,13.34,0.64,272.6
2014/1/2 18:33,420.2,13.46,1.22,282.2
2014/1/2 18:34,422.1,13.52,0.56,298.3
2014/1/2 18:35,421.3,13.62,0.68,254.1
2014/1/2 18:36,418.5,13.72,0.88,265.6
2014/1/2 18:37,423.8,13.8,1.04,277.8
2014/1/2 18:38,427.1,13.8,0.9,268.6
2014/1/2 18:39,427,13.82,0.94,277.5
2014/1/2 18:40,424.9,13.9,0.86,282.1
2014/1/2 18:41,422.5,13.98,0.94,272
2014/1/2 18:42,414.6,14,0.88,240.3
2014/1/2 18:43,408.8,14.06,0.4,241.7
2014/1/2 18:44,405.5,14.14,0.62,326.6
2014/1/2 18:45,407.3,14.2,1.06,298.8
2014/1/2 18:46,407.5,14.2,0.92,297.8
2014/1/2 18:47,401.1,14.26,0.58,277.2
2014/1/2 18:48,404.8,14.32,0.64,269.5
2014/1/2 18:49,410.5,14.4,0.84,246.7
2014/1/2 18:50,408.2,14.48,0.94,277.7
2014/1/2 18:51,412.7,14.5,0.7,252.8
2014/1/2 18:52,414.7,14.5,0.72,266
2014/1/2 18:53,421,14.52,0.6,284.4
2014/1/2 18:54,422.6,14.6,1.08,294
2014/1/2 18:55,425,14.6,0.84,288.3
2014/1/2 18:56,417.4,14.66,0.8,275
2014/1/2 18:57,400.2,14.7,0.44,294.1
2014/1/2 18:58,413.4,14.82,0.56,243.8
2014/1/2 18:59,438.9,14.94,0.26,58.23
2014/1/2 19:00,440.7,15.14,0.5,175.7
2014/1/2 19:01,442.7,15.24,0.4,173.9
2014/1/2 19:02,443.1,15.34,0.62,214.4
2014/1/2 19:03,444.7,15.46,0.72,234.4
2014/1/2 19:04,445.7,15.54,0.8,265.6
2014/1/2 19:05,446.5,15.6,0.9,288.8
2014/1/2 19:06,450.7,15.6,1.16,276.8
2014/1/2 19:07,454.6,15.6,0.68,282.6
2014/1/2 19:08,458.3,15.6,0.46,313
2014/1/2 19:09,459.7,15.58,0.4,16.03
2014/1/2 19:10,460.2,15.56,0.44,70.94
2014/1/2 19:11,461.3,15.62,0.7,304
2014/1/2 19:12,461.5,15.74,1.08,251
2014/1/2 19:13,462.2,15.82,0.78,230.8
2014/1/2 19:14,463.2,15.94,0.78,278.1
2014/1/2 19:15,463.8,16.08,0.9,271.6
2014/1/2 19:16,464.8,16.1,1.02,287.6
2014/1/2 19:17,465.6,16.1,0.62,273.3
2014/1/2 19:18,466.1,16.14,0.58,244.3
2014/1/2 19:19,467,16.2,1,277.4
2014/1/2 19:20,467.5,16.2,0.6,257.4
2014/1/2 19:21,468.6,16.3,0.42,247.9
2014/1/2 19:22,468.8,16.44,0.52,218
2014/1/2 19:23,470.2,16.54,0.52,138.4
2014/1/2 19:24,470.9,16.68,1,254.6
2014/1/2 19:25,471.6,16.7,1.24,194.6
2014/1/2 19:26,471.3,16.52,0.78,163.6
2014/1/2 19:27,471.6,16.32,0.38,124.2
2014/1/2 19:28,472.6,16.3,0.46,53.15
2014/1/2 19:29,473.2,16.42,0.68,187.3
2014/1/2 19:30,473.4,16.5,0.88,168.7
2014/1/2 19:31,472.4,16.5,0.74,256.5
2014/1/2 19:32,472.2,16.5,0.88,147.5
2014/1/2 19:33,468.7,16.5,0.76,241
2014/1/2 19:34,466.6,16.56,1.06,266.6
2014/1/2 19:35,470.8,16.6,1,201.3
2014/1/2 19:36,475.4,16.52,0.7,181.8
2014/1/2 19:37,476.5,16.54,0.56,183.4
2014/1/2 19:38,477.3,16.66,0.52,249.7
2014/1/2 19:39,476.5,16.82,0.68,227.2
2014/1/2 19:40,474.9,16.9,0.82,218.7
2014/1/2 19:41,477.1,16.9,0.6,272.9
2014/1/2 19:42,477.2,17,0.98,282.7
2014/1/2 19:43,476.4,17,1.28,279.3
2014/1/2 19:44,478.5,16.92,1.3,261.4
2014/1/2 19:45,479,16.8,1.44,284.8
2014/1/2 19:46,479.9,16.72,1.14,283.9
2014/1/2 19:47,480,16.68,1.32,297.4
2014/1/2 19:48,480.4,16.6,0.9,326.4
2014/1/2 19:49,480,16.5,0.52,272.2
2014/1/2 19:50,481.9,16.56,1.02,263.8
2014/1/2 19:51,482,16.64,1.06,266
2014/1/2 19:52,481.8,16.7,0.82,282.4
2014/1/2 19:53,482.8,16.7,1.44,284.2
2014/1/2 19:54,483.4,16.7,1,324.6
2014/1/2 19:55,484.3,16.7,1.14,325.5
2014/1/2 19:56,483.7,16.68,1.68,304.5
2014/1/2 19:57,482.8,16.58,1.1,331.5
2014/1/2 19:58,482.9,16.5,1.08,302.7
2014/1/2 19:59,482.2,16.5,1.68,302.8
2014/1/2 20:00,480.3,16.54,1.08,304.1
2014/1/2 20:01,478.3,16.6,1.76,285.4
2014/1/2 20:02,475.2,16.6,1.38,299.6
2014/1/2 20:03,475.6,16.6,1.46,310.4
2014/1/2 20:04,477.9,16.58,1.62,323.6
2014/1/2 20:05,481.2,16.5,0.52,7.392
2014/1/2 20:06,483.5,16.42,0.48,114.6
2014/1/2 20:07,482.7,16.5,1.3,257.2
2014/1/2 20:08,483.2,16.6,0.88,337.6
2014/1/2 20:09,483.1,16.68,0.98,2.131
2014/1/2 20:10,481.3,16.7,0.56,97.3
2014/1/2 20:11,482.3,16.76,1.56,291.4
2014/1/2 20:12,484,16.88,0.8,331.9
2014/1/2 20:13,483.4,16.94,0.54,102.5
2014/1/2 20:14,482.4,17.04,0.46,219.8
2014/1/2 20:15,479.1,17.22,1.62,287.8
2014/1/2 20:16,477,17.38,1.24,312.4
2014/1/2 20:17,471,17.36,1.2,333
2014/1/2 20:18,467.2,17.3,1.46,314.4
2014/1/2 20:19,470.3,17.24,1.62,298.2
2014/1/2 20:20,479,17.2,1.62,295.6
2014/1/2 20:21,478.1,17.14,1.68,284.7
2014/1/2 20:22,483,17.1,1.14,312.2
2014/1/2 20:23,485.4,17.1,1.66,298.6
2014/1/2 20:24,487.4,17.1,1.3,298.6
2014/1/2 20:25,487.5,17.1,1.04,305.5
2014/1/2 20:26,486.5,17.16,1.46,285
2014/1/2 20:27,486.8,17.14,1.1,270.2
2014/1/2 20:28,486.6,17.12,0.68,267.2
2014/1/2 20:29,486.7,17.2,0.48,95
2014/1/2 20:30,486.4,17.24,0.36,125
2014/1/2 20:31,486,17.36,1.04,243.8
2014/1/2 20:32,485.5,17.5,2.54,283.1
2014/1/2 20:33,485,17.5,1.76,299.4
2014/1/2 20:34,484.6,17.44,1,286
2014/1/2 20:35,484.3,17.4,0.46,219.4
2014/1/2 20:36,483.6,17.5,0.98,277.8
2014/1/2 20:37,482.9,17.66,1.74,287.4
2014/1/2 20:38,482.4,17.72,1.66,293.7
2014/1/2 20:39,482,17.7,1.7,281.4
2014/1/2 20:40,479.2,17.7,1.94,298
2014/1/2 20:41,477.2,17.6,1.68,276.8
2014/1/2 20:42,476.5,17.6,1.28,275.8
2014/1/2 20:43,479.6,17.6,1.26,271
2014/1/2 20:44,479.6,17.6,0.82,233.6
2014/1/2 20:45,479.3,17.64,0.98,279.5
2014/1/2 20:46,482.1,17.7,1.92,301.6
2014/1/2 20:47,483,17.7,1.5,322.6
2014/1/2 20:48,485.3,17.7,1.56,303.8
2014/1/2 20:49,485.8,17.7,1.82,310.4
2014/1/2 20:50,483.5,17.66,1.48,272.4
2014/1/2 20:51,482.1,17.62,1.76,288.8
2014/1/2 20:52,480.4,17.66,1.74,300.8
2014/1/2 20:53,479.1,17.7,1.12,274
2014/1/2 20:54,478,17.7,1.28,259
2014/1/2 20:55,477.4,17.78,1.18,283.8
2014/1/2 20:56,475.9,17.8,1.56,307.8
2014/1/2 20:57,475.9,17.8,1.26,289.4
2014/1/2 20:58,476.1,17.8,1.38,278
2014/1/2 20:59,475.7,17.82,1.56,296
2014/1/2 21:00,475,17.86,0.48,332.6
2014/1/2 21:01,448.7,17.9,1.36,296.6
2014/1/2 21:02,479,17.92,1.26,297.2
2014/1/2 21:03,477.2,18,0.92,272.9
2014/1/2 21:04,467.3,18.06,0.86,255
2014/1/2 21:05,462.2,18.16,2.06,292.2
2014/1/2 21:06,461.5,18.2,1.46,287.9
2014/1/2 21:07,456.4,18.1,2.16,276
2014/1/2 21:08,450,18.04,1.68,302.6
2014/1/2 21:09,445.9,18,1.1,298.2
2014/1/2 21:10,444.1,17.96,0.82,268.8
2014/1/2 21:11,449.7,18.06,1.52,264.6
2014/1/2 21:12,439.4,18.16,2.04,285.6
2014/1/2 21:13,414.6,18.2,1.24,290.7
2014/1/2 21:14,392.8,18.2,1.64,253.2
2014/1/2 21:15,417.9,18.2,1.94,290
2014/1/2 21:16,427,18.2,1.96,306.6
2014/1/2 21:17,354.5,18.1,1.26,281.4
2014/1/2 21:18,313.2,18.1,1.94,323.2
2014/1/2 21:19,365,18.1,1.7,306.8
2014/1/2 21:20,430.2,18.1,1.38,299.5
2014/1/2 21:21,444.1,18.1,1.84,277.2
2014/1/2 21:22,439.4,18.1,1.62,307.3
2014/1/2 21:23,446.5,18.1,1.98,278.6
2014/1/2 21:24,449.2,18.1,2.08,304.4
2014/1/2 21:25,448.4,18.12,1.26,286.2
2014/1/2 21:26,436.8,18.2,1.9,291.1
2014/1/2 21:27,433.8,18.2,2.7,282.2
2014/1/2 21:28,431.9,18.08,2.12,293.2
2014/1/2 21:29,432.5,17.96,1.56,319.4
2014/1/2 21:30,435.8,17.88,1.92,320.6
2014/1/2 21:31,436.7,17.8,2.2,307
2014/1/2 21:32,436.9,17.8,1.76,307.4
2014/1/2 21:33,436.5,17.8,1.66,297.8
2014/1/2 21:34,433.6,17.82,2,282
2014/1/2 21:35,431.7,17.9,1.9,316.2
2014/1/2 21:36,426.5,17.9,2.04,309.7
2014/1/2 21:37,426.9,17.84,2.2,288.5
2014/1/2 21:38,432.2,17.82,1.62,299
2014/1/2 21:39,432.5,17.9,2.06,294.8
2014/1/2 21:40,432,17.9,1.8,285.3
2014/1/2 21:41,432.3,17.9,1.62,283.4
2014/1/2 21:42,432.5,17.9,1.88,315.8
2014/1/2 21:43,424.9,17.9,2.2,302.7
2014/1/2 21:44,416.5,17.88,2.06,282.4
2014/1/2 21:45,412.3,17.8,1.92,281.6
2014/1/2 21:46,415.3,17.8,1.42,294.8
2014/1/2 21:47,419.7,17.8,1.12,316.6
2014/1/2 21:48,425.2,17.84,1.56,299.8
2014/1/2 21:49,423.4,17.9,2.18,280.6
2014/1/2 21:50,416.9,17.98,2.28,280.4
2014/1/2 21:51,407.8,17.9,2.12,277.6
2014/1/2 21:52,399.1,17.9,2.58,279.6
2014/1/2 21:53,392.8,17.8,2.08,281.2
2014/1/2 21:54,389.2,17.84,1.6,281.5
2014/1/2 21:55,390.6,17.94,1.58,287.8
2014/1/2 21:56,391.4,18.06,2.16,299.8
2014/1/2 21:57,402.7,18.1,1.94,314.6
2014/1/2 21:58,412,18.1,2.4,310.6
2014/1/2 21:59,415.4,18.06,2.36,309.8
2014/1/2 22:00,416,18,1.7,300.8
2014/1/2 22:01,415.1,18,1.66,294.8
2014/1/2 22:02,409.9,18,1.98,305.5
2014/1/2 22:03,405.9,18.08,2.54,321.4
2014/1/2 22:04,402.4,18,1.68,313
2014/1/2 22:05,402.8,18,2.08,276.8
2014/1/2 22:06,389.3,18.08,2.28,294.2
2014/1/2 22:07,382.3,18.1,2.26,296.6
2014/1/2 22:08,375.8,18.06,1.44,307.4
2014/1/2 22:09,375.1,18,1.8,291
2014/1/2 22:10,374.8,18.08,1.92,290.8
2014/1/2 22:11,381.5,18.1,2.18,304.8
2014/1/2 22:12,355.3,18.1,1.88,303
2014/1/2 22:13,322.2,18.1,2.54,290.2
2014/1/2 22:14,297.6,18.1,1.94,272.4
2014/1/2 22:15,313.7,18.1,2.18,272.6
2014/1/2 22:16,331,18.1,1.9,311.3
2014/1/2 22:17,317.6,18.1,2.1,286.4
2014/1/2 22:18,310.6,18.06,2.1,296.9
2014/1/2 22:19,290.6,18.08,2.36,307.6
2014/1/2 22:20,292.3,18,1.92,307
2014/1/2 22:21,301.7,18,2.06,307.5
2014/1/2 22:22,304.5,18,1.7,284.7
2014/1/2 22:23,304.8,18,1.58,292.8
2014/1/2 22:24,318.9,18,1.68,295.6
2014/1/2 22:25,320.5,18,1.88,303.7
2014/1/2 22:26,318.2,18.02,1.94,316
2014/1/2 22:27,333.2,18.02,2.3,301.4
2014/1/2 22:28,346.7,18,1.5,301.2
2014/1/2 22:29,343.2,18.02,1.32,314.5
2014/1/2 22:30,348.4,18.1,1.26,285.4
2014/1/2 22:31,342.7,18.12,1.88,279
2014/1/2 22:32,320.2,18.2,1.54,292.3
2014/1/2 22:33,279.5,18.26,1.78,305.4
2014/1/2 22:34,326.5,18.3,2.3,311.4
2014/1/2 22:35,363.7,18.28,2.18,300.2
2014/1/2 22:36,353.3,18.2,2.18,297.4
2014/1/2 22:37,341.9,18.2,2.6,303
2014/1/2 22:38,329.5,18.14,2.02,301.8
2014/1/2 22:39,327.3,18.1,1.82,299.9
2014/1/2 22:40,337.2,18.08,1.82,276.4
2014/1/2 22:41,333.2,18,1.4,269.7
2014/1/2 22:42,323.5,18,1.02,272
2014/1/2 22:43,309.3,18.1,1.36,282
2014/1/2 22:44,279.9,18.1,2.62,298.6
2014/1/2 22:45,290.7,18.1,1.62,299.3
2014/1/2 22:46,295.7,18.1,1.8,289.2
2014/1/2 22:47,273.3,18.1,1.66,297.2
2014/1/2 22:48,258.4,18.1,1,292
2014/1/2 22:49,252,18.1,1.4,302.6
2014/1/2 22:50,223.3,18.1,1.52,299.9
2014/1/2 22:51,196.4,18.1,2.02,281
2014/1/2 22:52,195,18.1,1.58,305.7
2014/1/2 22:53,205.5,18.1,1.84,320
2014/1/2 22:54,226.8,18.02,1.78,303.4
2014/1/2 22:55,248.7,18,0.86,294.4
2014/1/2 22:56,235.4,18,0.76,280.2
2014/1/2 22:57,236.1,18,1.66,292.3
2014/1/2 22:58,223.7,18,1.5,307.6
2014/1/2 22:59,246,18.04,1.54,294.8
2014/1/2 23:00,247.2,18.1,1.16,315.1
2014/1/2 23:01,238,18.08,2.06,291.4
2014/1/2 23:02,265.7,18,1.64,269.4
2014/1/2 23:03,286,18,1.76,281.5
2014/1/2 23:04,293.2,18,1.84,322.4
2014/1/2 23:05,289.6,18,1.72,303.4
2014/1/2 23:06,285.5,18.08,1.66,298.7
2014/1/2 23:07,282.6,18.1,1.32,312
2014/1/2 23:08,279.6,18.1,1.64,301.6
2014/1/2 23:09,278.7,18.1,1.6,303.8
2014/1/2 23:10,275.6,18.1,1.28,312.4
2014/1/2 23:11,273.1,18.1,1.12,287.3
2014/1/2 23:12,270.9,18.18,1.18,291.6
2014/1/2 23:13,269.9,18.2,1.28,280
2014/1/2 23:14,267.2,18.28,1.9,290.8
2014/1/2 23:15,266.6,18.3,1.66,292.1
2014/1/2 23:16,266,18.3,1.94,289.8
2014/1/2 23:17,264.2,18.3,1.38,286
2014/1/2 23:18,262.2,18.3,1.98,301.2
2014/1/2 23:19,259.9,18.3,1.26,301.8
2014/1/2 23:20,257.8,18.28,1.48,292.4
2014/1/2 23:21,255.4,18.2,1.46,299.8
2014/1/2 23:22,252.8,18.2,0.8,306.7
2014/1/2 23:23,250.3,18.26,1.78,312.9
2014/1/2 23:24,248,18.3,1.74,309.6
2014/1/2 23:25,245.6,18.24,2.08,310.4
2014/1/2 23:26,243,18.2,2.18,298.4
2014/1/2 23:27,240.4,18.18,1.82,308.6
2014/1/2 23:28,237.6,18.1,1.82,295.2
2014/1/2 23:29,235.2,18.1,2.04,290.6
2014/1/2 23:30,232.5,18.1,1.62,296.4
2014/1/2 23:31,229.6,18.1,1.7,309.6
2014/1/2 23:32,226.9,18.1,1.34,311
2014/1/2 23:33,224.8,18.1,1.66,298.7
2014/1/2 23:34,223.1,18.1,1.58,313.2
2014/1/2 23:35,218.6,18.1,1.32,309.6
2014/1/2 23:36,200.7,18.1,0.46,301.4
2014/1/2 23:37,191.3,18.1,0.94,320.7
2014/1/2 23:38,198.1,18.1,1.4,294.2
2014/1/2 23:39,200.3,18.1,1.18,293.2
2014/1/2 23:40,197.9,18.1,1.58,282.7
2014/1/2 23:41,191.2,18.1,1.46,294.2
2014/1/2 23:42,186.4,18.1,1.58,285.2
2014/1/2 23:43,180.7,18.1,1.74,306.2
2014/1/2 23:44,176.2,18.1,1.08,308.2
2014/1/2 23:45,173.7,18.1,1.14,314.4
2014/1/2 23:46,170.2,18.1,2,296.2
2014/1/2 23:47,165.6,18.1,1.16,323.7
2014/1/2 23:48,164.5,18,1.2,286.2
2014/1/2 23:49,163.5,18,1.42,294.8
2014/1/2 23:50,152.4,18,1.4,296.6
2014/1/2 23:51,114.5,18,1.2,276.4
2014/1/2 23:52,142.7,18,1.6,283.6
2014/1/2 23:53,146.7,18,1.14,288.2
2014/1/2 23:54,160.4,18,1.02,309.6
2014/1/2 23:55,158.8,18,1.14,310.4
2014/1/2 23:56,150.5,17.98,1.76,319
2014/1/2 23:57,137.1,17.9,1.56,320.3
2014/1/2 23:58,119,17.9,1.6,285.2
2014/1/2 23:59,100.1,17.8,1.48,300.8
2014/1/3 0:00,89.5,17.8,1.64,288.2
2014/1/3 0:01,70.74,17.76,1.46,289.6
2014/1/3 0:02,60.03,17.7,1.3,296.6
2014/1/3 0:03,52.31,17.68,1.38,327.7
2014/1/3 0:04,41.59,17.6,0.88,292.7
2014/1/3 0:05,37.1,17.6,1.12,306.1
2014/1/3 0:06,37.77,17.56,1.16,307.2
2014/1/3 0:07,42.06,17.5,0.8,287
2014/1/3 0:08,48.71,17.5,0.6,294.8
2014/1/3 0:09,53.85,17.46,0.62,262.6
2014/1/3 0:10,57.75,17.4,0.88,286.1
